,time,rhoeq_xtal
1080,2160.0,994.554932
1081,2162.0,995.145386
1082,2164.0,995.61792
1083,2166.0,995.970703
1084,2168.0,996.053467
1085,2170.0,995.374268
1086,2172.0,994.438232
1087,2174.0,993.473206
1088,2176.0,992.500366
1089,2178.0,992.205505
1090,2180.0,992.360596
1091,2182.0,992.730286
1092,2184.0,993.742615
1093,2186.0,994.651855
1094,2188.0,995.303101
1095,2190.0,995.696106
1096,2192.0,995.671997
1097,2194.0,995.148743
1098,2196.0,994.497803
1099,2198.0,993.974548
1100,2200.0,993.58197
1101,2202.0,993.300659
1102,2204.0,993.27594
1103,2206.0,993.481934
1104,2208.0,994.186096
1105,2210.0,995.061584
1106,2212.0,995.375732
1107,2214.0,995.170227
1108,2216.0,994.77594
1109,2218.0,994.542175
1110,2220.0,994.467896
1111,2222.0,994.240295
1112,2224.0,993.670105
1113,2226.0,992.851318
1114,2228.0,992.434998
1115,2230.0,992.394653
1116,2232.0,992.603271
1117,2234.0,993.167786
1118,2236.0,993.695984
1119,2238.0,994.223816
1120,2240.0,994.754456
1121,2242.0,995.091125
1122,2244.0,995.481873
1123,2246.0,995.276001
1124,2248.0,994.444763
1125,2250.0,993.372253
1126,2252.0,992.358826
1127,2254.0,992.131287
1128,2256.0,992.587524
1129,2258.0,993.395447
1130,2260.0,994.061951
1131,2262.0,994.589478
1132,2264.0,995.160706
1133,2266.0,995.761414
1134,2268.0,995.85144
1135,2270.0,995.315796
1136,2272.0,994.210693
1137,2274.0,993.13385
1138,2276.0,992.666321
1139,2278.0,992.999146
1140,2280.0,993.429688
1141,2282.0,993.515564
1142,2284.0,993.68573
1143,2286.0,994.011414
1144,2288.0,994.619934
1145,2290.0,995.307434
1146,2292.0,995.593018
1147,2294.0,995.468018
1148,2296.0,994.871765
1149,2298.0,994.297607
1150,2300.0,994.13916
1151,2302.0,993.950684
1152,2304.0,993.610596
1153,2306.0,993.341797
1154,2308.0,993.395447
1155,2310.0,994.020996
1156,2312.0,994.676147
1157,2314.0,995.039612
1158,2316.0,994.950806
1159,2318.0,994.451233
1160,2320.0,994.067627
1161,2322.0,994.051086
1162,2324.0,994.201721
1163,2326.0,994.140198
1164,2328.0,993.675842
1165,2330.0,993.281128
1166,2332.0,992.888428
1167,2334.0,993.096497
1168,2336.0,993.635437
1169,2338.0,994.059204
1170,2340.0,994.084167
1171,2342.0,993.842529
1172,2344.0,993.360901
1173,2346.0,993.072144
1174,2348.0,993.200928
1175,2350.0,993.542542
1176,2352.0,994.020569
1177,2354.0,994.286987
1178,2356.0,994.542908
1179,2358.0,994.840088
1180,2360.0,995.20166
1181,2362.0,995.249329
1182,2364.0,994.813599
1183,2366.0,994.184082
1184,2368.0,993.681396
1185,2370.0,993.266907
1186,2372.0,992.872375
