,time,rhoeq_decoy
8421,16842.0,993.110352
8422,16844.0,992.310242
8423,16846.0,991.950562
8424,16848.0,991.925049
8425,16850.0,992.30365
8426,16852.0,993.180481
8427,16854.0,994.127014
8428,16856.0,994.626404
8429,16858.0,994.945679
8430,16860.0,995.009094
8431,16862.0,995.026978
8432,16864.0,994.398376
8433,16866.0,993.406372
8434,16868.0,992.826233
8435,16870.0,992.763916
8436,16872.0,992.992371
8437,16874.0,993.47644
8438,16876.0,994.361755
8439,16878.0,995.350098
8440,16880.0,995.99408
8441,16882.0,995.82312
8442,16884.0,995.135681
8443,16886.0,994.178955
8444,16888.0,993.088318
8445,16890.0,992.34491
8446,16892.0,992.280823
8447,16894.0,992.732178
8448,16896.0,993.597717
8449,16898.0,994.49884
8450,16900.0,995.414795
8451,16902.0,995.591309
8452,16904.0,995.545593
8453,16906.0,995.026672
8454,16908.0,993.948975
8455,16910.0,993.043274
8456,16912.0,992.120117
8457,16914.0,991.775452
8458,16916.0,992.148315
8459,16918.0,993.062744
8460,16920.0,994.083801
8461,16922.0,995.017151
8462,16924.0,995.778992
8463,16926.0,996.01123
8464,16928.0,995.562378
8465,16930.0,994.39209
8466,16932.0,993.126709
8467,16934.0,992.591003
8468,16936.0,992.658264
8469,16938.0,992.878296
8470,16940.0,993.334656
8471,16942.0,993.708862
8472,16944.0,993.911133
8473,16946.0,994.102234
8474,16948.0,994.366211
8475,16950.0,994.611694
8476,16952.0,994.685852
8477,16954.0,994.616821
8478,16956.0,994.335327
8479,16958.0,994.03772
8480,16960.0,993.742493
8481,16962.0,993.502686
8482,16964.0,993.417908
8483,16966.0,993.135803
8484,16968.0,993.009827
8485,16970.0,993.004578
8486,16972.0,993.26886
8487,16974.0,993.807739
8488,16976.0,994.297302
8489,16978.0,994.578491
8490,16980.0,994.581909
8491,16982.0,994.5578
8492,16984.0,994.678345
8493,16986.0,994.783264
8494,16988.0,994.687988
8495,16990.0,994.216553
8496,16992.0,993.592529
8497,16994.0,993.0802
8498,16996.0,992.8078
8499,16998.0,992.853149
8500,17000.0,993.276917
8501,17002.0,993.90741
