,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
316,384.csv : ,1,-9.13,-8.58,18,1
435,72.csv : ,1,-9.13,-8.55,33,2
448,84.csv : ,1,-9.16,-8.57,12,7
414,53.csv : ,1,-9.16,-9.04,2,24
403,462.csv : ,1,-9.16,-9.14,3,23
439,76.csv : ,1,-9.17,-8.66,15,13
187,268.csv : ,1,-9.18,-9.18,1,11
247,321.csv : ,1,-9.18,-8.55,6,18
346,410.csv : ,1,-9.18,-9.18,1,24
367,43.csv : ,1,-9.18,-8.52,24,7
203,282.csv : ,1,-9.19,-8.93,2,22
389,45.csv : ,1,-9.19,-8.64,21,1
128,214.csv : ,1,-9.19,-8.54,20,42
68,160.csv : ,1,-9.20,-8.73,36,21
93,183.csv : ,1,-9.20,-8.31,13,18
276,348.csv : ,1,-9.22,-9.04,48,13
79,170.csv : ,1,-9.22,-8.58,10,40
246,320.csv : ,1,-9.23,-8.71,5,44
120,207.csv : ,1,-9.24,-8.22,15,17
319,387.csv : ,1,-9.26,-8.90,16,46
133,219.csv : ,1,-9.27,-9.27,1,17
36,131.csv : ,1,-9.27,-8.84,7,2
291,361.csv : ,1,-9.27,-8.70,17,18
423,61.csv : ,1,-9.28,-8.79,17,8
390,450.csv : ,1,-9.28,-8.91,41,37
226,302.csv : ,1,-9.29,-9.29,6,21
225,301.csv : ,1,-9.29,-9.16,7,1
12,11.csv : ,1,-9.29,-8.65,12,4
252,326.csv : ,1,-9.30,-8.75,16,14
404,463.csv : ,1,-9.30,-9.13,7,27
180,261.csv : ,1,-9.31,-8.72,13,1
303,372.csv : ,1,-9.32,-7.82,9,26
292,362.csv : ,1,-9.32,-8.94,20,10
224,300.csv : ,1,-9.34,-8.86,29,16
256,33.csv : ,1,-9.34,-8.49,3,31
394,454.csv : ,1,-9.34,-8.84,16,3
8,106.csv : ,1,-9.34,-8.74,7,50
83,174.csv : ,1,-9.35,-8.14,2,46
461,96.csv : ,1,-9.36,-8.75,7,20
425,63.csv : ,1,-9.37,-8.67,24,43
450,86.csv : ,1,-9.37,-8.87,19,11
23,12.csv : ,1,-9.37,-8.67,27,16
37,132.csv : ,1,-9.38,-8.66,5,37
48,142.csv : ,1,-9.38,-8.73,17,48
376,438.csv : ,1,-9.40,-9.27,43,1
244,319.csv : ,1,-9.41,-9.23,14,26
381,442.csv : ,1,-9.41,-8.29,9,33
393,453.csv : ,1,-9.42,-8.76,36,8
221,299.csv : ,1,-9.42,-9.15,42,11
408,48.csv : ,1,-9.43,-8.68,3,34
66,159.csv : ,1,-9.44,-8.94,38,26
413,52.csv : ,1,-9.45,-8.67,20,17
188,269.csv : ,1,-9.45,-9.12,29,14
25,121.csv : ,1,-9.46,-8.78,24,8
397,457.csv : ,1,-9.46,-8.72,23,34
436,73.csv : ,1,-9.47,-9.10,17,12
462,97.csv : ,1,-9.48,-8.71,40,41
374,436.csv : ,1,-9.49,-9.39,45,47
45,14.csv : ,1,-9.50,-8.42,16,42
82,173.csv : ,1,-9.51,-8.77,17,44
380,441.csv : ,1,-9.51,-9.02,39,38
317,385.csv : ,1,-9.53,-9.19,17,20
279,350.csv : ,1,-9.53,-8.80,6,15
189,27.csv : ,1,-9.53,-9.13,4,1
98,188.csv : ,1,-9.54,-8.64,16,15
284,355.csv : ,1,-9.55,-8.99,19,23
309,378.csv : ,1,-9.55,-9.07,12,35
400,46.csv : ,1,-9.56,-8.43,8,50
34,13.csv : ,1,-9.57,-8.94,21,27
210,289.csv : ,1,-9.57,-9.14,16,33
281,352.csv : ,1,-9.58,-9.38,7,34
10,108.csv : ,1,-9.58,-8.91,6,32
427,65.csv : ,1,-9.58,-9.42,3,30
35,130.csv : ,1,-9.60,-9.03,12,28
304,373.csv : ,1,-9.60,-9.09,31,29
344,409.csv : ,1,-9.62,-9.46,42,2
1,10.csv : ,1,-9.63,-8.64,14,30
237,312.csv : ,1,-9.63,-9.63,1,23
260,333.csv : ,1,-9.63,-9.37,42,12
201,280.csv : ,1,-9.63,-8.74,25,17
255,329.csv : ,1,-9.64,-9.52,45,33
212,290.csv : ,1,-9.64,-9.09,22,47
318,386.csv : ,1,-9.65,-9.08,20,17
27,123.csv : ,1,-9.65,-8.70,11,15
151,235.csv : ,1,-9.66,-9.23,4,28
452,88.csv : ,1,-9.66,-9.31,30,21
293,363.csv : ,1,-9.67,-8.11,4,22
213,291.csv : ,1,-9.67,-9.08,25,22
218,296.csv : ,1,-9.68,-9.51,34,3
254,328.csv : ,1,-9.68,-9.61,47,18
294,364.csv : ,1,-9.69,-9.19,45,40
97,187.csv : ,1,-9.69,-8.92,8,7
453,89.csv : ,1,-9.69,-9.14,40,21
383,444.csv : ,1,-9.70,-8.55,6,49
58,151.csv : ,1,-9.71,-9.38,4,39
21,118.csv : ,1,-9.71,-9.02,25,44
455,90.csv : ,1,-9.71,-9.22,43,18
270,342.csv : ,1,-9.72,-9.41,24,11
449,85.csv : ,1,-9.72,-9.11,13,12
282,353.csv : ,1,-9.72,-9.12,13,1
81,172.csv : ,1,-9.73,-9.11,6,33
268,340.csv : ,1,-9.73,-9.39,18,6
219,297.csv : ,1,-9.73,-9.56,23,36
259,332.csv : ,1,-9.73,-9.53,48,16
341,406.csv : ,1,-9.73,-9.62,27,32
200,28.csv : ,1,-9.74,-8.94,30,3
251,325.csv : ,1,-9.74,-9.39,14,26
424,62.csv : ,1,-9.75,-9.17,24,9
59,152.csv : ,1,-9.75,-9.25,6,47
438,75.csv : ,1,-9.76,-8.97,10,10
60,153.csv : ,1,-9.77,-8.75,12,38
220,298.csv : ,1,-9.77,-9.52,42,4
101,190.csv : ,1,-9.78,762591.65,22,10
326,393.csv : ,1,-9.79,-9.03,17,20
32,128.csv : ,1,-9.79,-9.53,38,47
227,303.csv : ,1,-9.80,-9.74,47,26
308,377.csv : ,1,-9.80,-9.14,22,23
