,q_2c,d_2c,f_2c,ECR,Molecule
91,3.0562638056478614e-05,0.0005025917872316793,0.0005839283485197721,0.00111708277380793,92
56,9.181523885144535e-05,0.0007882208242427243,0.0002258290471306333,0.001105865110224803,57
147,0.00033689734995427336,0.0006784279506100467,4.125524616329523e-05,0.0010565805467276153,148
68,5.038927145242552e-05,0.0008711187319746757,2.2641359144339846e-05,0.000944149362571441,69
25,0.0006138669951534218,9.181523885144535e-05,0.0001066740885018854,0.0008123563225067525,26
36,0.00023740754997057388,2.765421850739168e-05,0.0005283602191926328,0.0007934219876705983,37
61,6.154559513367405e-05,2.502257167203054e-05,0.0006784279506100467,0.0007649961174157514,62
88,3.2129618017777894e-05,5.297278464538051e-05,0.0006453406290239936,0.000730443031687152,89
53,0.0003541704464526059,4.125524616329523e-05,0.0002899702363421071,0.0006853959289580083,54
34,0.00026237591995906923,0.00024957969534551087,0.00015137773726879076,0.0006633333525733709,35
93,0.0003723291535462169,7.150577991539372e-05,0.0001848931858241466,0.0006287281192857571,94
41,0.00012393760883331792,2.3802206451113468e-05,0.0004547638550847908,0.0006025036703692222,42
85,3.732929041883396e-05,0.0001302920259204249,0.00041148735245100153,0.0005791086687902604,86
150,0.00014399495790441214,0.00021481523453761698,0.00017587583874560642,0.0005346860311876355,151
55,8.30778636586967e-05,8.733735681305598e-05,0.00033689734995427336,0.0005073125704260261,56
38,0.00015913903982548333,5.8543981039558724e-05,0.00027582822103803856,0.0004935112419030805,39
94,3.5508719442127454e-05,4.559409827772581e-05,0.00039141887746128867,0.0004725216951811419,95
