Ligand,Affinity
Lig118,-4.01529169
Lig118,-3.99897909
Lig118,-3.96474075
Lig118,-3.95157003
Lig118,-3.82558894
Lig118,-3.8103497
Lig118,-3.77869797
Lig118,-3.74115229
Lig118,-3.72994304
Lig118,-3.63566589
Lig118,-3.63354063
Lig118,-3.51650786
Lig118,-3.46779513
Lig118,-3.4589963
Lig118,-3.44069219
Lig118,-3.4097693
Lig118,-3.37131715
Lig118,-3.35171151
Lig118,-3.33395195
Lig118,-3.30101442
Lig118,-3.27794409
Lig118,-3.26700568
Lig118,-3.2561357
Lig118,-3.24835086
Lig118,-3.21932769
Lig118,-3.2112186
Lig118,-3.20129275
Lig118,-3.10874391
Lig118,-3.08343983
Lig118,-3.07479906
Lig118,-3.00787091
Lig118,-2.91648602
Lig118,-2.89881682
Lig118,-2.89736295
Lig118,-2.8744247
Lig118,-2.86273074
Lig118,-2.84616709
Lig118,-2.84098411
Lig118,-2.83634472
Lig118,-2.83398056
Lig118,-2.76009035
Lig119,-5.13838911
Lig119,-4.98200941
Lig119,-4.88550901
Lig119,-4.42334604
Lig119,-4.37403727
Lig119,-4.33758926
Lig119,-4.25771761
Lig119,-4.08551264
Lig119,-4.0119772
Lig119,-4.00365448
Lig119,-3.99463797
Lig119,-3.96292353
Lig119,-3.88813925
Lig119,-3.82757115
Lig119,-3.79623985
Lig119,-3.79297972
Lig119,-3.73964643
Lig119,-3.69490337
Lig119,-3.66397476
Lig119,-3.65638947
Lig119,-3.63227057
Lig119,-3.60774732
Lig119,-3.55741715
Lig119,-3.47698689
Lig119,-3.47073317
Lig119,-3.38619542
Lig119,-3.37161231
Lig119,-3.36822081
Lig119,-3.3664422
Lig119,-3.21870589
Lig119,-3.21362972
Lig119,-3.21192002
Lig119,-3.16779947
Lig119,-3.15838313
Lig119,-3.14495206
Lig119,-3.14465785
Lig119,-3.13390803
Lig119,-3.03074908
Lig119,-2.98624134
Lig119,-2.97676182
Lig119,-2.91855216
Lig119,-2.91451383
Lig119,-2.86843395
Lig119,-2.84072971
Lig119,-2.81959629
Lig119,-2.79223967
Lig119,-2.77000165
Lig119,-2.74397159
Lig119,-2.74244618
Lig119,-2.72231555
Lig11,-7.47345257
Lig11,-7.44321156
Lig11,-7.27499485
Lig11,-7.22016954
Lig11,-7.0874629
Lig11,-6.91060543
Lig11,-6.77490187
Lig11,-6.68517876
Lig11,-6.64012098
Lig11,-6.54898119
Lig11,-6.54352951
Lig11,-6.5251832
Lig11,-6.47164106
Lig11,-6.46839857
Lig11,-6.32720375
Lig11,-6.30367756
Lig11,-6.20593262
Lig11,-6.17889786
Lig11,-6.15312576
Lig11,-6.12197971
Lig11,-6.07598162
Lig11,-6.0479641
Lig11,-6.02360344
Lig11,-5.98859119
Lig11,-5.97856808
Lig11,-5.96561718
Lig11,-5.93139839
Lig11,-5.90777588
