,LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
27,54758653_entry_00028_conf_01,-72.3902,-58.3902,-3.8100099999999997,-27.1287,-0.24196900000000002,-10.8236,-21.8821,-3.1474,1485515,4.6710400000000005
168,447448_entry_00169_conf_01,-72.342,-54.342,-4.2554099999999995,-28.1346,-0.290225,-11.4949,-21.1342,-3.28827,1788573,5.7599599999999995
58,45933887_entry_00059_conf_01,-72.3006,-60.3006,-6.02505,-31.5802,-0.401264,-12.8008,-26.3387,-4.2529699999999995,872405,2.32688
122,7067772_entry_00123_conf_01,-72.225,-54.225,-4.0125,-27.559,-0.27128,-11.227,-20.6907,-3.1402200000000002,1959507,6.7517
203,439174_entry_00204_conf_01,-72.1278,-58.1278,-4.80852,-29.2464,-0.326061,-11.9262,-23.5697,-3.7962,1193252,3.51813
318,ZINC000015205956_entry_00319_conf_01,-72.1038,-58.1038,-3.43351,-26.1347,-0.242527,-10.8034,-21.0603,-2.88415,1575400,5.15367
453,ZINC000616583702_entry_00454_conf_01,-72.041,-52.041000000000004,-3.60205,-26.5401,-0.247275,-10.8671,-19.1721,-3.0017099999999997,2640855,9.09361
276,18897_entry_00277_conf_01,-71.9719,-59.9719,-5.99766,-31.4366,-0.401688,-12.7665,-26.1952,-3.99844,886699,2.48722
376,ZINC000102974493_entry_00377_conf_01,-71.8946,-55.8946,-3.2679400000000003,-25.658,-0.21671700000000002,-10.3855,-19.9478,-2.87578,1817859,6.26074
69,44630437_entry_00070_conf_01,-71.8649,-55.8649,-4.49156,-28.5196,-0.305501,-11.6417,-22.17,-3.42214,1454506,4.40909
388,ZINC000106382957_entry_00389_conf_01,-71.8188,-55.8188,-3.12256,-25.2539,-0.220769,-10.4425,-19.6278,-2.65996,1916285,6.891039999999999
225,193108_entry_00226_conf_01,-71.8094,-57.8094,-4.488090000000001,-28.4976,-0.239283,-10.7257,-22.9417,-3.4195,1258804,3.7095
200,439213_entry_00201_conf_01,-71.793,-59.793,-5.98275,-31.3585,-0.398447,-12.710999999999999,-26.116999999999997,-3.9885,844403,2.36344
272,24154_entry_00273_conf_01,-71.712,-59.711999999999996,-5.976,-31.3231,-0.397998,-12.6966,-26.0816,-4.21836,851725,2.4073
360,ZINC000101136391_entry_00361_conf_01,-71.7033,-55.7033,-3.77386,-26.8713,-0.266266,-11.1036,-20.8752,-3.11754,1778039,5.80012
78,44119773_entry_00079_conf_01,-71.7027,-59.7027,-4.7801800000000005,-29.074,-0.324139,-11.8559,-24.2082,-3.5851300000000004,1015469,2.8195099999999997
442,ZINC000616582453_entry_00443_conf_01,-71.6851,-47.6851,-3.4135800000000005,-25.983,-0.23475100000000002,-10.6452,-17.2839,-2.8674,3162282,11.8188
267,29327_entry_00268_conf_01,-71.643,-57.643,-3.9801699999999998,-27.3369,-0.270117,-11.1506,-21.9949,-3.11491,1277058,4.231380000000001
237,118328_entry_00238_conf_01,-71.6161,-55.6161,-2.65245,-23.872,-0.188782,-9.89299,-18.5387,-2.3102,1969026,7.62148
199,439213_entry_00200_conf_01,-71.5483,-59.5483,-5.962359999999999,-31.2516,-0.399323,-12.6913,-26.0101,-4.20872,834474,2.27395
275,24139_entry_00276_conf_01,-71.545,-57.545,-4.76966,-29.0101,-0.32342600000000005,-11.8298,-23.3333,-3.57725,1116663,3.3010300000000004
315,ZINC000015205949_entry_00316_conf_01,-71.5315,-55.5315,-2.98048,-24.7986,-0.208971,-10.2257,-19.2517,-2.5547,2065923,7.63616
202,439174_entry_00203_conf_01,-71.5237,-57.5237,-4.76825,-29.0014,-0.32333,-11.8263,-23.3247,-3.57619,1174957,3.51309
450,ZINC000616582904_entry_00451_conf_01,-71.4857,-53.4857,-3.9714300000000002,-27.2769,-0.27573400000000003,-11.210999999999999,-20.4086,-3.24935,1879747,6.0612699999999995
39,52944903_entry_00040_conf_01,-71.4233,-45.4233,-2.10068,-22.0469,-0.153084,-9.20881,-14.0212,-1.9303599999999999,4606815,22.1998
4,129878031_entry_00005_conf_01,-71.4021,-53.4021,-4.20012,-27.7691,-0.286454,-11.3456,-20.7687,-3.1044400000000003,1962266,6.27027
307,ZINC000015205814_entry_00308_conf_01,-71.257,-53.257,-2.96904,-24.7034,-0.208169,-10.1865,-18.4632,-2.54489,2372292,9.017000000000001
38,52944904_entry_00039_conf_01,-71.1777,-43.1777,-2.03365,-21.7598,-0.14748699999999998,-9.07431,-13.1999,-1.92372,4885600,24.5897
105,12600646_entry_00106_conf_01,-71.1611,-53.1611,-3.55805,-26.215999999999998,-0.226846,-10.472999999999999,-19.5847,-2.8464400000000003,1941816,6.8042300000000004
