REC _TITLE1 TOTAL INTER INTRA RESTR VDW
366 118707521 -9.512 -9.133 -2.229 0.000 -20.183
367 118707521 -8.349 -12.168 -3.720 0.000 -19.823
368 118707521 -14.594 -17.463 0.476 0.000 -21.804
369 118707521 -21.975 -23.151 -2.538 0.000 -24.357
370 118707521 -3.607 -7.820 0.608 0.000 -17.798
371 118707521 -17.163 -17.555 -1.393 0.003 -19.906
372 118707521 -23.625 -23.950 -2.076 0.000 -24.811
373 118707521 -7.051 -13.843 -2.436 0.000 -21.417
374 118707521 -4.793 -8.738 0.708 0.000 -17.154
375 118707521 -8.395 -10.602 0.456 0.000 -20.367
376 118707521 -10.717 -12.354 -2.161 0.000 -22.767
377 118707521 -11.227 -9.673 -4.850 0.000 -13.516
378 118707521 -2.737 -8.000 0.161 0.000 -14.762
379 118707521 -13.411 -12.923 -3.943 0.216 -17.358
380 118707521 -5.764 -13.842 -2.007 0.000 -17.188
381 118707521 -7.987 -9.681 -1.703 0.000 -18.198
382 118707521 -10.433 -13.116 -0.822 0.002 -16.460
383 118707521 -12.266 -17.852 1.684 0.000 -18.892
384 118707521 -5.991 -16.414 1.961 0.000 -20.793
385 118707521 -1.621 -4.183 -0.694 0.000 -14.919
386 118707521 -3.279 -3.294 -3.221 0.000 -13.694
387 118707521 -12.451 -10.483 -4.267 0.000 -16.384
388 118707521 -12.912 -15.829 -0.407 0.000 -21.522
389 118707521 -6.799 -15.526 0.481 0.000 -24.612
390 118707521 -1.708 -9.036 -0.862 0.000 -17.486
391 118707521 -18.408 -15.737 -4.415 0.000 -20.816
392 118707521 -7.830 -14.364 -2.534 0.043 -18.214
393 118707521 -6.739 -8.583 -1.394 0.035 -14.028
394 118707521 -13.776 -14.049 -1.468 0.000 -21.827
395 118707521 -8.661 -11.938 1.419 0.000 -17.242
396 118707521 -11.021 -10.359 -2.412 0.000 -19.045
397 118707521 -7.255 -8.049 -1.312 0.000 -16.154
398 118707521 -19.748 -20.185 -1.580 0.152 -24.048
399 118707521 -9.749 -7.524 -5.368 0.000 -15.374
400 118707521 -12.000 -15.373 0.229 0.000 -17.539
401 118707521 -15.494 -18.445 0.560 0.000 -21.938
402 118707521 -15.356 -13.463 -5.509 0.000 -19.414
403 118707521 -12.651 -10.705 -5.078 0.000 -15.578
404 118707521 -9.002 -11.719 0.317 0.001 -22.583
405 118707521 -18.036 -17.826 -3.341 0.000 -22.840
406 118707521 -5.593 -8.662 -4.507 0.000 -16.228
407 118707521 -9.848 -12.050 -5.340 0.007 -22.511
408 118707521 -9.845 -9.086 -2.533 0.000 -19.645
409 118707521 -13.350 -17.816 2.545 0.000 -18.961
410 118707521 -13.004 -13.298 -3.330 0.011 -21.792
411 118707521 -13.145 -14.875 -1.522 0.000 -15.812
412 118707521 -11.972 -10.112 -5.143 0.000 -17.332
413 118707521 -11.901 -12.914 -2.991 0.000 -20.002
414 118707521 -14.405 -13.805 -3.746 0.000 -20.038
415 118707521 -6.915 -7.847 -2.206 0.000 -17.031
416 118707521 -14.156 -11.797 -4.763 0.006 -19.412
417 118707521 -14.413 -18.467 2.310 0.000 -26.112
418 118707521 -16.573 -15.978 -3.757 0.000 -21.747
419 118707521 -6.028 -7.850 -6.404 0.000 -14.863
420 118707521 -15.234 -15.677 -2.799 0.000 -21.066
421 118707521 -22.464 -24.739 -1.110 0.000 -22.504
422 118707521 -10.130 -10.541 -2.266 0.000 -16.524
423 118707521 -20.364 -17.457 -6.793 0.000 -19.457
424 118707521 -10.299 -10.921 -2.681 0.000 -15.431
425 118707521 -12.655 -16.053 1.650 0.005 -23.857
426 118707521 -13.382 -9.776 -6.787 0.000 -17.395
427 118707521 -16.542 -16.770 -4.286 0.000 -22.249
428 118707521 -12.024 -13.665 -1.614 0.023 -17.141
429 118707521 -10.810 -14.679 -1.058 0.000 -15.898
430 118707521 -12.509 -10.588 -5.787 0.002 -20.839
431 118707521 -12.725 -12.165 -3.718 0.000 -21.947
432 118707521 -18.804 -14.957 -7.161 0.000 -16.864
433 118707521 -13.776 -14.030 -3.212 0.000 -18.803
434 118707521 -12.631 -14.335 -1.534 0.000 -22.816
435 118707521 -13.127 -9.499 -7.224 0.001 -16.602
436 118707521 -10.194 -14.372 -4.143 0.000 -23.398
437 118707521 -10.264 -9.804 -3.594 0.000 -17.163
438 118707521 -11.365 -8.282 -6.371 0.000 -18.345
439 118707521 -19.952 -20.936 -3.293 0.000 -26.033
440 118707521 -12.637 -7.257 -7.116 0.000 -16.334
441 118707521 -10.958 -18.383 -3.546 0.000 -23.222
442 118707521 -7.865 -6.326 -4.842 0.000 -14.451
443 118707521 -11.446 -7.664 -7.607 0.000 -15.404
444 118707521 -16.528 -14.871 -4.183 0.000 -23.897
445 118707521 -12.782 -12.131 -3.087 0.000 -19.417
446 118707521 -21.707 -20.619 -2.853 0.000 -20.892
447 118707521 -11.575 -9.792 -5.604 0.000 -18.562
448 118707521 -13.063 -10.559 -7.513 0.000 -19.208
449 118707521 -12.399 -7.830 -6.533 0.000 -18.146
450 118707521 -16.376 -18.187 -1.854 0.000 -22.885
451 91820057 2.668 -9.935 1.706 0.000 -12.525
452 91820057 -5.578 -12.923 -0.203 0.000 -12.827
453 91820057 -5.431 -13.304 4.601 0.000 -13.017
454 91820057 -5.920 -8.942 0.610 0.000 -11.608
455 91820057 -8.844 -12.318 -0.310 0.000 -11.945
456 91820057 -9.125 -12.586 0.147 0.000 -12.348
457 91820057 -8.515 -9.143 -1.792 0.000 -11.874
458 91820057 -6.272 -13.834 0.030 0.000 -15.350
459 91820057 -3.087 -10.439 -0.210 0.000 -12.975
460 91820057 -1.514 -5.385 2.129 0.000 -10.168
461 91820057 -7.398 -11.558 0.913 0.000 -12.763
462 91820057 -4.872 -8.281 0.167 0.000 -8.892
463 91820057 -8.981 -10.382 -0.379 0.000 -12.316
464 91820057 -4.196 -7.954 -1.338 0.000 -12.807
